hotel_id,numero_habitacion,tipo
,0,Doble
78425,1,Matrimonial
,,Sencilla
78425,3,Triple
,4,Sencilla
78425,5,Matrimonial
78425,6,Sencilla
78425,7,Suite
78425,8,Triple
78425,9,Sencilla
78425,10,Matrimonial
78425,11,Doble
78425,12,Cuadruple
78425,13,Sencilla
78425,14,Sencilla
78425,15,Suite
78425,16,Sencilla
78425,17,Matrimonial
,18,Triple
78425,19,
,20,Sencilla
78425,21,Triple
78425,22,Matrimonial
78425,23,Matrimonial
78425,24,
78425,25,Cuadruple
78425,26,Doble
78425,,Triple
78425,,Doble
78425,29,
78425,30,Matrimonial
78425,31,
78425,,Cuadruple
78425,,Triple
,34,Triple
78425,35,
78425,36,Suite
78425,37,Cuadruple
78425,38,Matrimonial
,0,Triple
78432,1,Doble
78432,2,Cuadruple
78432,,Suite
78432,4,Triple
78432,5,Triple
78432,6,Suite
78432,7,Sencilla
78432,8,Triple
78432,9,Sencilla
78432,10,Matrimonial
78432,11,Sencilla
78432,12,Sencilla
78432,13,Triple
78432,14,Cuadruple
78432,15,Triple
78432,16,
78432,17,Suite
78432,18,Triple
78432,19,Triple
78432,20,Sencilla
78432,21,Cuadruple
78432,22,Sencilla
78432,23,Sencilla
78432,24,Cuadruple
78432,25,Doble
78432,26,Triple
78432,27,Doble
78448,0,Doble
,1,Doble
78448,2,Sencilla
78448,3,Triple
78448,4,Suite
78448,5,Doble
78448,6,Cuadruple
78448,7,Matrimonial
,8,Matrimonial
,9,Sencilla
78448,10,Matrimonial
78448,11,Doble
78448,12,Triple
78448,13,
78448,14,Suite
78456,0,Matrimonial
78456,1,Cuadruple
78456,2,Triple
78456,3,Doble
78456,4,Cuadruple
78456,5,Cuadruple
78456,6,Doble
78456,7,Sencilla
78456,8,Sencilla
78456,9,Matrimonial
78456,10,Suite
78456,11,Triple
78456,12,Suite
78456,13,Doble
78456,14,Suite
78456,15,Sencilla
78456,16,Triple
78456,17,Sencilla
78456,18,Sencilla
78456,19,Cuadruple
,20,Triple
78456,21,Doble
78456,22,Doble
78456,23,Matrimonial
78456,24,Matrimonial
78456,25,Doble
78456,,Doble
78456,27,Matrimonial
78456,28,Doble
78456,29,Sencilla
78456,30,Suite
78456,31,Matrimonial
78456,32,
78456,33,Suite
78463,0,Doble
78463,1,Triple
78463,2,Sencilla
78463,3,Doble
78463,4,Triple
78463,5,Suite
78463,6,Cuadruple
78463,7,Matrimonial
78463,,Doble
78463,9,Sencilla
78463,10,Sencilla
78463,11,Doble
78463,12,Sencilla
78463,13,Doble
78463,14,Cuadruple
78463,15,Suite
78463,16,Doble
78463,17,Suite
78463,,
78463,19,Suite
78463,20,Cuadruple
78463,21,Matrimonial
78463,22,Sencilla
78463,23,Doble
78463,24,Sencilla
78463,25,Matrimonial
78463,26,Matrimonial
78463,27,Triple
78463,28,Cuadruple
78463,29,Sencilla
78468,0,Sencilla
78468,1,Doble
78468,2,Doble
78468,3,
78468,4,Cuadruple
78468,5,Cuadruple
78468,6,Doble
78468,7,Cuadruple
78468,8,Suite
78468,9,Cuadruple
78468,10,Cuadruple
78468,11,Suite
78468,,Sencilla
78468,13,Doble
78468,14,Cuadruple
78468,15,Cuadruple
78468,16,Cuadruple
78468,17,Sencilla
78468,18,Cuadruple
78468,19,Matrimonial
78468,20,Doble
78468,21,Suite
78468,22,Triple
78468,23,Sencilla
78468,24,Matrimonial
78468,25,
78468,26,Doble
78468,27,Doble
78468,,Sencilla
78468,29,Matrimonial
78468,30,Sencilla
78468,31,
,32,Matrimonial
78468,33,Cuadruple
78468,34,Triple
78468,35,Triple
78468,36,Matrimonial
78468,37,Suite
78476,0,Doble
78476,1,Doble
78476,2,Sencilla
78476,3,
78476,4,Doble
78476,5,Cuadruple
78476,6,Matrimonial
78476,7,Triple
78476,8,
78476,9,Sencilla
78476,10,Cuadruple
78476,11,Doble
78476,12,Doble
78476,13,Sencilla
78476,14,Triple
78476,15,Matrimonial
78476,16,Triple
78476,17,Cuadruple
78476,18,Sencilla
78476,19,Triple
78476,20,Doble
78476,21,Matrimonial
78476,22,Matrimonial
78476,23,Matrimonial
78476,24,Suite
78476,25,
78476,26,Sencilla
