id,empresa,nombre,descripcion,ubicacion,duracion,precio_persona,capacidad,restricciones,fecha_panorama
78416,Abercrombie & Kent,,Aventúrate en la montaña,Santa Lucía de Tirajana,,10000,,{},2026-08-23 00:00:00
78430,Secret Escapes,Tour,Relájate en la playa,Motril,6,76000,,{},2026-11-03 00:00:00
78433,Kuoni,Aventura,Relájate en la playa,Toledo,3,9000,44,{},2025-08-12 00:00:00
78435,Globus,Excursión,Aventúrate en la montaña,Toledo,1,82000,,{},2025-08-14 00:00:00
78436,National Geographic Expeditions,Excursión,Descubre la gastronomía local,Toledo,6,43000,17,{},2025-08-15 00:00:00
78437,Hays Travel,Aventura,Disfruta de un día en la naturaleza,Toledo,4,62000,39,,2025-08-16 00:00:00
78438,Intrepid Travel,Tour,,Toledo,4,65000,2,{},2025-08-17 00:00:00
78441,Eurostar,,,,,,82,{},
78444,CWT,Paseo,Disfruta de un día en la naturaleza,Torrevieja,3,95000,7,{},2026-04-17 00:00:00
78449,Intrepid Travel,Tour,,Badajoz,6,,31,,2026-02-26 00:00:00
78450,Hays Travel,Aventura,Aventúrate en la montaña,Badajoz,4,73000,39,{},2026-02-27 00:00:00
78458,Travel Leaders Group,Tour,Relájate en la playa,Huelva,3,54000,31,{},2026-03-08 00:00:00
78461,Turkish Airlines,,,,,,42,{},
78462,Alaska Airlines,,,,,,64,{},
78464,Apple Leisure Group,Aventura,Conoce la historia de la ciudad,Murcia,5,17000,48,{},2026-03-05 00:00:00
78466,Abercrombie & Kent,Tour,Descubre la gastronomía local,Murcia,7,91000,19,{},2026-03-07 00:00:00
78469,Luxury Escapes,Aventura,Conoce la historia de la ciudad,Gecho,1,13000,1,{},2026-08-22 00:00:00
78470,Contiki,Visita,Relájate en la playa,Gecho,5,71000,24,{},2026-08-23 00:00:00
78471,Expedia Group,Visita,Disfruta de un día en la naturaleza,Gecho,3,97000,40,{},2026-08-24 00:00:00
78477,Abercrombie & Kent,Visita,Conoce la historia de la ciudad,Irún,5,,35,{},2026-07-17 00:00:00
78479,Insight Vacations,Paseo,Aventúrate en la montaña,Irún,,41000,34,{},2026-07-19 00:00:00
78491,Iberia,,,,,,12,{},
