id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked
78415,63299,2025-05-13,-784000,,No disponible,896
78425,57773,2025-01-28,5208000,7,No disponible,-868
,57773,2025-07-10,672000,7,No disponible,672
78430,57773,2026-03-20,532000,7,No disponible,-532
78431,58310,2025-04-29,792000,6,No disponible,792
78432,58310,2025-06-29,-1974000,6,No disponible,282
78433,58310,2025-05-15,54000,6,No disponible,54
78434,58310,2025-02-02,,,No disponible,564
78435,58310,2025-06-27,492000,6,No disponible,492
78436,58310,2025-03-20,258000,6,No disponible,258
78437,58310,2025-02-01,372000,6,No disponible,372
78438,58310,2025-03-28,390000,6,No disponible,390
78439,58310,2025-08-04,888000,6,No disponible,888
78440,58310,2025-01-15,732000,6,No disponible,732
78444,65218,2026-03-01,380000,4,,380
78450,56422,2025-01-31,584000,8,,584
78456,56422,2025-02-15,3480000,8,,696
78458,56422,2026-02-08,-432000,8,No disponible,432
78464,58690,2025-03-06,34000,2,No disponible,-34
78466,58690,2025-08-11,182000,2,,182
78475,59970,2025-10-26,188000,2,No disponible,-188
78476,59970,2025-12-23,-1056000,2,No disponible,176
78479,59970,2025-07-05,82000,2,No disponible,-82
78484,56258,2025-09-25,1557000,9,No disponible,1557
78485,56258,2025-01-02,495000,9,No disponible,495
78486,56258,2025-07-15,963000,9,No disponible,
78487,56258,2025-02-19,110000,9,No disponible,990
78488,64804,2025-04-07,200000,8,No disponible,-200
,64804,2025-01-22,9000,8,No disponible,
78499,58036,2026-01-14,747000,9,No disponible,-747
78512,60218,,1935000,3,No disponible,-387
78515,60218,2025-08-26,-195000,3,No disponible,195
78518,60218,2025-10-13,96000,3,No disponible,-288
78519,64386,2025-05-19,210000,1,,210
,,2025-01-12,83000,1,No disponible,83
78530,61892,2025-02-22,302000,1,,302
78557,57365,2025-01-15,792000,8,No disponible,792
78531,61892,,-447000,1,No disponible,149
,,2025-06-29,100000,1,No disponible,100
,61892,2025-03-14,12000,1,No disponible,
78543,59050,2025-06-26,920000,8,No disponible,920
78544,59050,2025-01-14,960000,,No disponible,960
78545,59050,2025-03-14,5480000,8,No disponible,1096
78546,59050,2025-04-18,-672000,8,No disponible,672
78548,59050,2025-07-04,296000,8,No disponible,296
78549,59050,2025-03-31,200000,8,,200
,61462,2025-10-27,1990000,10,No disponible,1990
78551,57365,2025-01-07,800000,8,No disponible,800
78552,57365,2025-04-25,4920000,8,No disponible,984
78553,57365,2025-03-25,-80000,8,No disponible,80
78554,57365,2025-01-15,208000,8,No disponible,208
78555,57365,2025-02-09,560000,8,No disponible,560
78556,57365,2025-04-15,744000,8,No disponible,744
,57365,2025-04-11,984000,8,No disponible,984
78559,57365,2025-02-27,1040000,8,No disponible,1040
,,2025-05-02,1000000,8,No disponible,1000
78564,61439,2025-01-15,2107000,7,No disponible,
78565,61439,2025-01-24,1974000,7,No disponible,1974
78573,66513,2025-06-01,1144000,8,No disponible,1144
,55864,2025-09-07,185000,5,No disponible,185
78595,61153,2025-01-19,648000,3,No disponible,648
78596,61153,2025-05-07,657000,3,No disponible,657
78598,66568,2025-02-26,520000,2,No disponible,-104
78601,66568,2025-02-17,98000,2,No disponible,-98
78603,58541,2025-11-21,-588000,6,No disponible,588
78608,58541,2025-07-11,498000,6,,498
,58286,2025-10-21,290000,5,No disponible,290
78620,58286,2025-08-27,-90000,5,No disponible,90
78625,61637,2025-02-26,1456000,4,No disponible,-1456
78629,61637,,-260000,4,No disponible,260
,61637,2026-01-16,256000,,No disponible,256
78640,64235,2025-01-13,156000,3,,-156
78642,64235,2025-02-11,-246000,3,No disponible,246
78647,57135,2026-04-11,-710000,5,No disponible,710
78650,63964,2025-09-02,91000,7,,91
78651,63964,2025-01-05,357000,7,,357
78661,,2025-09-18,-532000,7,No disponible,532
,57306,,308000,3,No disponible,231
,61565,2025-01-09,558000,4,No disponible,372
,61565,2025-03-04,160000,4,No disponible,160
78672,61565,2025-01-21,232000,4,No disponible,232
78673,61565,2025-03-12,400000,4,No disponible,400
78674,61565,2025-01-02,32000,4,No disponible,32
78675,61565,2025-02-09,236000,4,No disponible,236
78676,61565,2025-02-12,252000,4,No disponible,252
78677,61565,2025-03-21,756000,4,No disponible,-252
78678,61565,2025-01-15,228000,4,No disponible,228
,61565,,88000,4,No disponible,88
78681,65501,2025-04-06,-264000,5,No disponible,440
78682,65501,2025-01-22,315000,5,,315
78685,65501,2025-04-07,-2050000,5,No disponible,410
,65501,2025-02-14,120000,5,No disponible,120
78690,57499,2026-01-16,,1,No disponible,118
78691,57499,2025-01-12,484000,1,No disponible,121
78692,57499,2026-07-16,95000,1,No disponible,95
78693,57499,2025-10-24,27000,1,No disponible,27
,57499,2025-05-09,23000,1,No disponible,23
